Element,Electron Configuration,Charge State,# Known Levels,Rel. Abundance(1000K),Rel. Abundance(3000K),Rel. Abundance(6000K),,Special Cases,Total Rel. Abundance(1000K),Total Rel. Abundance(3000K),Total Rel. Abundance(6000K),,,,,,
Promethium,[Xe] 4f5 6s2,I,222,4.52E-02,1.71E-06,6.07E-14,,,,,,,,,,,
Lanthanum,[Xe] 5d2,II,119,6.00E-10,9.05E-01,7.87E-05,,,,,,,,,,,
Cerium,[Xe] 4f 5d2,II,491,2.79E-10,2.78E-01,2.28E-05,,,,,,,,,,,
Neodymium,[Xe ]4f4 6s,II,840,2.41E-10,4.08E-01,3.11E-05,,,,,,,,,,,
Lutetium,[Xe] 4f14 6s2,II,40,1.23E-10,1.05E-01,3.13E-03,,,,,,,,,,,
Praseodymium,[Xe] 4f3 6s,II,201,1.08E-10,4.54E-02,1.31E-06,,,,,,,,,,,
Samarium,[Xe] 4f6 6s,II,377,3.28E-11,3.35E-01,4.55E-05,,,,,,,,,,,
Promethium,[Xe ]4f5 6s,II,182,1.39E-11,9.65E-02,1.47E-05,,,,,,,,,,,
Europium,[Xe] 4f7 6s,II,163,9.03E-12,1.86E-01,3.46E-05,,,,,,,,,,,
Dysprosium,[Xe] 4f10 6s,II,576,1.32E-12,6.24E-01,2.02E-04,,,,,,,,,,,
Terbium,[Xe] 4f9 6s,II,154,5.22E-13,1.84E-01,4.97E-05,,,,,,,,,,,
Erbium,[Xe] 4f12 6s,II,362,2.09E-13,5.09E-01,2.45E-04,,,,,,,,,,,
Holmium,[Xe] 4f11 6s,II,40,1.43E-13,1.62E-01,6.15E-05,,,,,,,,,,,
Gadolinium,[Xe] 4f7 5d 6s,II,321,4.26E-14,3.05E-01,2.96E-04,,,,,,,,,,,
Ytterbium,[Xe] 4f14 6s,II,349,3.23E-14,3.76E-01,2.57E-04,,,,,,,,,,,
Thulium,[Xe] 4f13 6s,II,367,2.25E-14,1.33E-01,6.98E-05,,,,,,,,,,,
Praseodymium,[Xe] 4f3,III,430,3.16E-45,1.86E-05,3.17E-02,,,,,,,,,,,
Neodymium,[Xe] 4f4,III,31,1.11E-45,6.01E-05,4.10E-01,,,,,,,,,,,
Cerium,[Xe] 4f2,III,227,1.88E-46,3.06E-05,2.86E-01,,,,,,,,,,,
Lanthanum,[Xe] 5d,III,42,3.03E-47,5.22E-05,9.03E-01,,,,,,,,,,,
Promethium,[Xe] 4f5,III,2,1.03E-47,7.54E-06,1.39E-01,,,,,,,,,,,
Samarium,[Xe] 4f6,III,58,4.24E-48,1.51E-05,3.18E-01,,,,,,,,,,,
Europium,[Xe] 4f7,III,118,1.50E-49,4.57E-06,1.77E-01,,,,,,,,,,,
Terbium,[Xe] 4f9,III,125,2.32E-52,1.94E-06,1.68E-01,,,,,,,,,,,
Dysprosium,[Xe] 4f10,III,2,8.65E-53,5.30E-06,6.32E-01,,,,,,,,,,,
Holmium,[Xe] 4f11,III,29,1.86E-54,9.22E-07,1.57E-01,,,,,,,,,,,
Erbium,[Xe] 4f12,III,53,5.35E-55,2.09E-06,5.27E-01,,,,,,,,,,,
Gadolinium,[Xe] 4f7 5d,III,28,3.54E-56,3.35E-07,3.12E-01,,,,,,,,,,,
Thulium,[Xe] 4f13,III,128,9.36E-57,3.41E-07,1.17E-01,,,,,,,,,,,
Ytterbium,[Xe] 4f14,III,55,3.56E-57,6.57E-07,3.63E-01,,,,,,,,,,,
Lutetium,[Xe] 4f14 6s,III,29,1.50E-63,1.02E-10,1.04E-01,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Key: Relative Abun. is abundance from ionization state calculations divided by total lanthanide abundance for a given Ye file,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
